Call,Response,Count,KB,Details
hi,hello what can i help you with today,430,,
i'd like to book a table at resto_london_cheap_indian_6stars,great let me do the reservation,430,<KB> resto_london_cheap_indian_6stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_6stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,431,,
can you make a restaurant reservation at resto_madrid_cheap_indian_8stars,great let me do the reservation,431,<KB> resto_madrid_cheap_indian_8stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_8stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,432,,
i'd like to book a table at resto_madrid_expensive_italian_7stars,great let me do the reservation,432,<KB> resto_madrid_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_7stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,433,,
can you make a restaurant reservation at resto_london_moderate_spanish_4stars,great let me do the reservation,433,<KB> resto_london_moderate_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_moderate_spanish_4stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 4 
hi,hello what can i help you with today,434,,
i'd like to book a table at resto_london_expensive_indian_6stars,great let me do the reservation,434,<KB> resto_london_expensive_indian_6stars, <R_cuisine> indian <R_address> resto_london_expensive_indian_6stars_address <R_location> london <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,435,,
can you book a table at resto_bombay_cheap_italian_5stars,great let me do the reservation,435,<KB> resto_bombay_cheap_italian_5stars, <R_cuisine> italian <R_address> resto_bombay_cheap_italian_5stars_address <R_location> bombay <R_number> four <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,436,,
i'd like to book a table at resto_bombay_expensive_italian_7stars,great let me do the reservation,436,<KB> resto_bombay_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_bombay_expensive_italian_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,437,,
can you make a restaurant reservation at resto_bombay_moderate_spanish_3stars,great let me do the reservation,437,<KB> resto_bombay_moderate_spanish_3stars, <R_cuisine> spanish <R_address> resto_bombay_moderate_spanish_3stars_address <R_location> bombay <R_number> six <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,438,,
may i have a table at resto_madrid_expensive_italian_3stars,great let me do the reservation,438,<KB> resto_madrid_expensive_italian_3stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,439,,
i'd like to book a table at resto_paris_expensive_british_5stars,great let me do the reservation,439,<KB> resto_paris_expensive_british_5stars, <R_cuisine> british <R_address> resto_paris_expensive_british_5stars_address <R_location> paris <R_number> six <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,440,,
may i have a table at resto_bombay_cheap_french_6stars,great let me do the reservation,440,<KB> resto_bombay_cheap_french_6stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_6stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,441,,
may i have a table at resto_paris_expensive_spanish_2stars,great let me do the reservation,441,<KB> resto_paris_expensive_spanish_2stars, <R_cuisine> spanish <R_address> resto_paris_expensive_spanish_2stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 2 
hi,hello what can i help you with today,442,,
can you book a table at resto_rome_cheap_spanish_2stars,great let me do the reservation,442,<KB> resto_rome_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_2stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,443,,
i'd like to book a table at resto_madrid_moderate_british_3stars,great let me do the reservation,443,<KB> resto_madrid_moderate_british_3stars, <R_cuisine> british <R_address> resto_madrid_moderate_british_3stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,444,,
i'd like to book a table at resto_london_moderate_indian_7stars,great let me do the reservation,444,<KB> resto_london_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,445,,
can you book a table at resto_london_moderate_french_3stars,great let me do the reservation,445,<KB> resto_london_moderate_french_3stars, <R_cuisine> french <R_address> resto_london_moderate_french_3stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,446,,
can you book a table at resto_rome_cheap_indian_3stars,great let me do the reservation,446,<KB> resto_rome_cheap_indian_3stars, <R_cuisine> indian <R_address> resto_rome_cheap_indian_3stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,447,,
may i have a table at resto_rome_cheap_british_4stars,great let me do the reservation,447,<KB> resto_rome_cheap_british_4stars, <R_cuisine> british <R_address> resto_rome_cheap_british_4stars_address <R_location> rome <R_number> six <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,448,,
can you make a restaurant reservation at resto_rome_expensive_indian_1stars,great let me do the reservation,448,<KB> resto_rome_expensive_indian_1stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_1stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,449,,
may i have a table at resto_bombay_expensive_spanish_6stars,great let me do the reservation,449,<KB> resto_bombay_expensive_spanish_6stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_6stars_address <R_location> bombay <R_number> six <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,450,,
can you make a restaurant reservation at resto_paris_moderate_spanish_8stars,great let me do the reservation,450,<KB> resto_paris_moderate_spanish_8stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_8stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,451,,
can you make a restaurant reservation at resto_madrid_cheap_french_8stars,great let me do the reservation,451,<KB> resto_madrid_cheap_french_8stars, <R_cuisine> french <R_address> resto_madrid_cheap_french_8stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,452,,
may i have a table at resto_london_cheap_italian_4stars,great let me do the reservation,452,<KB> resto_london_cheap_italian_4stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_4stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,453,,
may i have a table at resto_bombay_cheap_french_5stars,great let me do the reservation,453,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,454,,
can you make a restaurant reservation at resto_london_expensive_indian_8stars,great let me do the reservation,454,<KB> resto_london_expensive_indian_8stars, <R_cuisine> indian <R_address> resto_london_expensive_indian_8stars_address <R_location> london <R_number> eight <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,455,,
i'd like to book a table at resto_paris_cheap_spanish_3stars,great let me do the reservation,455,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,456,,
may i have a table at resto_madrid_moderate_british_3stars,great let me do the reservation,456,<KB> resto_madrid_moderate_british_3stars, <R_cuisine> british <R_address> resto_madrid_moderate_british_3stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,457,,
i'd like to book a table at resto_london_moderate_british_7stars,great let me do the reservation,457,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,458,,
can you book a table at resto_bombay_expensive_french_4stars,great let me do the reservation,458,<KB> resto_bombay_expensive_french_4stars, <R_cuisine> french <R_address> resto_bombay_expensive_french_4stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,459,,
can you make a restaurant reservation at resto_rome_moderate_indian_8stars,great let me do the reservation,459,<KB> resto_rome_moderate_indian_8stars, <R_cuisine> indian <R_address> resto_rome_moderate_indian_8stars_address <R_location> rome <R_number> two <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,460,,
can you make a restaurant reservation at resto_london_moderate_italian_6stars,great let me do the reservation,460,<KB> resto_london_moderate_italian_6stars, <R_cuisine> italian <R_address> resto_london_moderate_italian_6stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,461,,
can you book a table at resto_rome_expensive_indian_2stars,great let me do the reservation,461,<KB> resto_rome_expensive_indian_2stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_2stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,462,,
can you make a restaurant reservation at resto_madrid_cheap_indian_3stars,great let me do the reservation,462,<KB> resto_madrid_cheap_indian_3stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_3stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,463,,
i'd like to book a table at resto_madrid_moderate_italian_3stars,great let me do the reservation,463,<KB> resto_madrid_moderate_italian_3stars, <R_cuisine> italian <R_address> resto_madrid_moderate_italian_3stars_address <R_location> madrid <R_number> eight <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,464,,
may i have a table at resto_paris_moderate_spanish_7stars,great let me do the reservation,464,<KB> resto_paris_moderate_spanish_7stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_7stars_address <R_location> paris <R_number> six <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,465,,
may i have a table at resto_london_cheap_italian_3stars,great let me do the reservation,465,<KB> resto_london_cheap_italian_3stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_3stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,466,,
i'd like to book a table at resto_madrid_moderate_french_5stars,great let me do the reservation,466,<KB> resto_madrid_moderate_french_5stars, <R_cuisine> french <R_address> resto_madrid_moderate_french_5stars_address <R_location> madrid <R_number> four <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,467,,
can you book a table at resto_london_cheap_french_8stars,great let me do the reservation,467,<KB> resto_london_cheap_french_8stars, <R_cuisine> french <R_address> resto_london_cheap_french_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,468,,
can you make a restaurant reservation at resto_london_moderate_indian_7stars,great let me do the reservation,468,<KB> resto_london_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,469,,
may i have a table at resto_london_expensive_indian_4stars,great let me do the reservation,469,<KB> resto_london_expensive_indian_4stars, <R_cuisine> indian <R_address> resto_london_expensive_indian_4stars_address <R_location> london <R_number> six <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,470,,
can you book a table at resto_london_cheap_french_8stars,great let me do the reservation,470,<KB> resto_london_cheap_french_8stars, <R_cuisine> french <R_address> resto_london_cheap_french_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,471,,
i'd like to book a table at resto_rome_moderate_italian_7stars,great let me do the reservation,471,<KB> resto_rome_moderate_italian_7stars, <R_cuisine> italian <R_address> resto_rome_moderate_italian_7stars_address <R_location> rome <R_number> six <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,472,,
i'd like to book a table at resto_london_moderate_british_3stars,great let me do the reservation,472,<KB> resto_london_moderate_british_3stars, <R_cuisine> british <R_address> resto_london_moderate_british_3stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,473,,
i'd like to book a table at resto_london_cheap_british_7stars,great let me do the reservation,473,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,474,,
i'd like to book a table at resto_rome_cheap_french_1stars,great let me do the reservation,474,<KB> resto_rome_cheap_french_1stars, <R_cuisine> french <R_address> resto_rome_cheap_french_1stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,475,,
can you make a restaurant reservation at resto_bombay_cheap_british_2stars,great let me do the reservation,475,<KB> resto_bombay_cheap_british_2stars, <R_cuisine> british <R_address> resto_bombay_cheap_british_2stars_address <R_location> bombay <R_number> two <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,476,,
may i have a table at resto_london_cheap_spanish_4stars,great let me do the reservation,476,<KB> resto_london_cheap_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_cheap_spanish_4stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,477,,
can you book a table at resto_bombay_cheap_french_6stars,great let me do the reservation,477,<KB> resto_bombay_cheap_french_6stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_6stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,478,,
can you make a restaurant reservation at resto_bombay_moderate_british_7stars,great let me do the reservation,478,<KB> resto_bombay_moderate_british_7stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_7stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,479,,
i'd like to book a table at resto_paris_moderate_italian_2stars,great let me do the reservation,479,<KB> resto_paris_moderate_italian_2stars, <R_cuisine> italian <R_address> resto_paris_moderate_italian_2stars_address <R_location> paris <R_number> eight <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,480,,
i'd like to book a table at resto_london_moderate_french_1stars,great let me do the reservation,480,<KB> resto_london_moderate_french_1stars, <R_cuisine> french <R_address> resto_london_moderate_french_1stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,481,,
i'd like to book a table at resto_rome_expensive_spanish_3stars,great let me do the reservation,481,<KB> resto_rome_expensive_spanish_3stars, <R_cuisine> spanish <R_address> resto_rome_expensive_spanish_3stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,482,,
can you make a restaurant reservation at resto_madrid_expensive_british_2stars,great let me do the reservation,482,<KB> resto_madrid_expensive_british_2stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_2stars_address <R_location> madrid <R_number> eight <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,483,,
may i have a table at resto_rome_moderate_spanish_5stars,great let me do the reservation,483,<KB> resto_rome_moderate_spanish_5stars, <R_cuisine> spanish <R_address> resto_rome_moderate_spanish_5stars_address <R_location> rome <R_number> four <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,484,,
may i have a table at resto_bombay_expensive_italian_7stars,great let me do the reservation,484,<KB> resto_bombay_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_bombay_expensive_italian_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,485,,
can you book a table at resto_london_moderate_british_7stars,great let me do the reservation,485,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,486,,
may i have a table at resto_rome_cheap_french_5stars,great let me do the reservation,486,<KB> resto_rome_cheap_french_5stars, <R_cuisine> french <R_address> resto_rome_cheap_french_5stars_address <R_location> rome <R_number> six <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,487,,
can you book a table at resto_rome_expensive_italian_7stars,great let me do the reservation,487,<KB> resto_rome_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_7stars_address <R_location> rome <R_number> eight <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,488,,
may i have a table at resto_rome_expensive_italian_5stars,great let me do the reservation,488,<KB> resto_rome_expensive_italian_5stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_5stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,489,,
can you make a restaurant reservation at resto_madrid_expensive_spanish_4stars,great let me do the reservation,489,<KB> resto_madrid_expensive_spanish_4stars, <R_cuisine> spanish <R_address> resto_madrid_expensive_spanish_4stars_address <R_location> madrid <R_number> six <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,490,,
i'd like to book a table at resto_rome_moderate_indian_3stars,great let me do the reservation,490,<KB> resto_rome_moderate_indian_3stars, <R_cuisine> indian <R_address> resto_rome_moderate_indian_3stars_address <R_location> rome <R_number> six <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,491,,
can you make a restaurant reservation at resto_london_cheap_british_7stars,great let me do the reservation,491,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,492,,
i'd like to book a table at resto_madrid_moderate_italian_5stars,great let me do the reservation,492,<KB> resto_madrid_moderate_italian_5stars, <R_cuisine> italian <R_address> resto_madrid_moderate_italian_5stars_address <R_location> madrid <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,493,,
may i have a table at resto_madrid_expensive_italian_3stars,great let me do the reservation,493,<KB> resto_madrid_expensive_italian_3stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,494,,
can you make a restaurant reservation at resto_madrid_cheap_spanish_4stars,great let me do the reservation,494,<KB> resto_madrid_cheap_spanish_4stars, <R_cuisine> spanish <R_address> resto_madrid_cheap_spanish_4stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,495,,
can you book a table at resto_london_cheap_british_7stars,great let me do the reservation,495,<KB> resto_london_cheap_british_7stars, <R_cuisine> british <R_address> resto_london_cheap_british_7stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,496,,
may i have a table at resto_london_moderate_italian_6stars,great let me do the reservation,496,<KB> resto_london_moderate_italian_6stars, <R_cuisine> italian <R_address> resto_london_moderate_italian_6stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,497,,
can you make a restaurant reservation at resto_bombay_expensive_french_4stars,great let me do the reservation,497,<KB> resto_bombay_expensive_french_4stars, <R_cuisine> french <R_address> resto_bombay_expensive_french_4stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 4 
hello,hello what can i help you with today,498,,
may i have a table at resto_paris_cheap_spanish_3stars,great let me do the reservation,498,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,499,,
can you make a restaurant reservation at resto_paris_moderate_spanish_4stars,great let me do the reservation,499,<KB> resto_paris_moderate_spanish_4stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_4stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,500,,
may i have a table at resto_bombay_expensive_spanish_6stars,great let me do the reservation,500,<KB> resto_bombay_expensive_spanish_6stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_6stars_address <R_location> bombay <R_number> six <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,501,,
i'd like to book a table at resto_bombay_moderate_italian_3stars,great let me do the reservation,501,<KB> resto_bombay_moderate_italian_3stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_3stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,502,,
may i have a table at resto_paris_expensive_spanish_2stars,great let me do the reservation,502,<KB> resto_paris_expensive_spanish_2stars, <R_cuisine> spanish <R_address> resto_paris_expensive_spanish_2stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 2 
hi,hello what can i help you with today,503,,
can you book a table at resto_london_moderate_italian_6stars,great let me do the reservation,503,<KB> resto_london_moderate_italian_6stars, <R_cuisine> italian <R_address> resto_london_moderate_italian_6stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,504,,
may i have a table at resto_london_cheap_french_5stars,great let me do the reservation,504,<KB> resto_london_cheap_french_5stars, <R_cuisine> french <R_address> resto_london_cheap_french_5stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,505,,
may i have a table at resto_madrid_expensive_british_2stars,great let me do the reservation,505,<KB> resto_madrid_expensive_british_2stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_2stars_address <R_location> madrid <R_number> eight <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,506,,
can you book a table at resto_madrid_cheap_indian_5stars,great let me do the reservation,506,<KB> resto_madrid_cheap_indian_5stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_5stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,507,,
can you make a restaurant reservation at resto_london_expensive_italian_4stars,great let me do the reservation,507,<KB> resto_london_expensive_italian_4stars, <R_cuisine> italian <R_address> resto_london_expensive_italian_4stars_address <R_location> london <R_number> six <R_price> expensive <R_rating> 4 
hello,hello what can i help you with today,508,,
may i have a table at resto_london_cheap_indian_6stars,great let me do the reservation,508,<KB> resto_london_cheap_indian_6stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_6stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,509,,
may i have a table at resto_madrid_cheap_italian_2stars,great let me do the reservation,509,<KB> resto_madrid_cheap_italian_2stars, <R_cuisine> italian <R_address> resto_madrid_cheap_italian_2stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,510,,
i'd like to book a table at resto_london_moderate_french_1stars,great let me do the reservation,510,<KB> resto_london_moderate_french_1stars, <R_cuisine> french <R_address> resto_london_moderate_french_1stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,511,,
may i have a table at resto_bombay_moderate_indian_7stars,great let me do the reservation,511,<KB> resto_bombay_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_bombay_moderate_indian_7stars_address <R_location> bombay <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,512,,
i'd like to book a table at resto_paris_moderate_spanish_7stars,great let me do the reservation,512,<KB> resto_paris_moderate_spanish_7stars, <R_cuisine> spanish <R_address> resto_paris_moderate_spanish_7stars_address <R_location> paris <R_number> six <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,513,,
can you make a restaurant reservation at resto_bombay_expensive_french_4stars,great let me do the reservation,513,<KB> resto_bombay_expensive_french_4stars, <R_cuisine> french <R_address> resto_bombay_expensive_french_4stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 4 
hi,hello what can i help you with today,514,,
may i have a table at resto_bombay_cheap_british_1stars,great let me do the reservation,514,<KB> resto_bombay_cheap_british_1stars, <R_cuisine> british <R_address> resto_bombay_cheap_british_1stars_address <R_location> bombay <R_number> two <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,515,,
can you make a restaurant reservation at resto_madrid_moderate_french_7stars,great let me do the reservation,515,<KB> resto_madrid_moderate_french_7stars, <R_cuisine> french <R_address> resto_madrid_moderate_french_7stars_address <R_location> madrid <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,516,,
can you make a restaurant reservation at resto_paris_expensive_british_3stars,great let me do the reservation,516,<KB> resto_paris_expensive_british_3stars, <R_cuisine> british <R_address> resto_paris_expensive_british_3stars_address <R_location> paris <R_number> six <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,517,,
can you book a table at resto_bombay_cheap_british_5stars,great let me do the reservation,517,<KB> resto_bombay_cheap_british_5stars, <R_cuisine> british <R_address> resto_bombay_cheap_british_5stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,518,,
may i have a table at resto_london_cheap_italian_6stars,great let me do the reservation,518,<KB> resto_london_cheap_italian_6stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_6stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,519,,
can you make a restaurant reservation at resto_london_moderate_british_5stars,great let me do the reservation,519,<KB> resto_london_moderate_british_5stars, <R_cuisine> british <R_address> resto_london_moderate_british_5stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,520,,
may i have a table at resto_madrid_cheap_indian_6stars,great let me do the reservation,520,<KB> resto_madrid_cheap_indian_6stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_6stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,521,,
can you book a table at resto_madrid_expensive_italian_2stars,great let me do the reservation,521,<KB> resto_madrid_expensive_italian_2stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_2stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 2 
hi,hello what can i help you with today,522,,
can you book a table at resto_london_moderate_french_5stars,great let me do the reservation,522,<KB> resto_london_moderate_french_5stars, <R_cuisine> french <R_address> resto_london_moderate_french_5stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,523,,
may i have a table at resto_london_moderate_spanish_4stars,great let me do the reservation,523,<KB> resto_london_moderate_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_moderate_spanish_4stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,524,,
i'd like to book a table at resto_london_moderate_french_1stars,great let me do the reservation,524,<KB> resto_london_moderate_french_1stars, <R_cuisine> french <R_address> resto_london_moderate_french_1stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,525,,
can you make a restaurant reservation at resto_paris_cheap_italian_8stars,great let me do the reservation,525,<KB> resto_paris_cheap_italian_8stars, <R_cuisine> italian <R_address> resto_paris_cheap_italian_8stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,526,,
can you book a table at resto_rome_cheap_spanish_1stars,great let me do the reservation,526,<KB> resto_rome_cheap_spanish_1stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_1stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,527,,
can you make a restaurant reservation at resto_rome_expensive_indian_6stars,great let me do the reservation,527,<KB> resto_rome_expensive_indian_6stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_6stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,528,,
can you make a restaurant reservation at resto_london_moderate_british_7stars,great let me do the reservation,528,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,529,,
can you make a restaurant reservation at resto_madrid_moderate_indian_4stars,great let me do the reservation,529,<KB> resto_madrid_moderate_indian_4stars, <R_cuisine> indian <R_address> resto_madrid_moderate_indian_4stars_address <R_location> madrid <R_number> four <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,530,,
