Call,Response,Count,KB,Details
hello,hello what can i help you with today,579,,
can you book a table at resto_seoul_cheap_thai_2stars,great let me do the reservation,579,<KB> resto_seoul_cheap_thai_2stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_2stars_address <R_location> seoul <R_number> six <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,580,,
can you book a table at resto_beijing_cheap_korean_8stars,great let me do the reservation,580,<KB> resto_beijing_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_8stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,581,,
i'd like to book a table at resto_bangkok_expensive_cantonese_8stars,great let me do the reservation,581,<KB> resto_bangkok_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_8stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,582,,
may i have a table at resto_hanoi_cheap_korean_4stars,great let me do the reservation,582,<KB> resto_hanoi_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_4stars_address <R_location> hanoi <R_number> six <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,583,,
may i have a table at resto_hanoi_moderate_cantonese_8stars,great let me do the reservation,583,<KB> resto_hanoi_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_hanoi_moderate_cantonese_8stars_address <R_location> hanoi <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,584,,
can you book a table at resto_beijing_moderate_korean_3stars,great let me do the reservation,584,<KB> resto_beijing_moderate_korean_3stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_3stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,585,,
can you book a table at resto_hanoi_expensive_cantonese_7stars,great let me do the reservation,585,<KB> resto_hanoi_expensive_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_hanoi_expensive_cantonese_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,586,,
may i have a table at resto_seoul_moderate_cantonese_8stars,great let me do the reservation,586,<KB> resto_seoul_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_seoul_moderate_cantonese_8stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,587,,
can you book a table at resto_seoul_cheap_cantonese_5stars,great let me do the reservation,587,<KB> resto_seoul_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_cheap_cantonese_5stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,588,,
i'd like to book a table at resto_beijing_moderate_korean_7stars,great let me do the reservation,588,<KB> resto_beijing_moderate_korean_7stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_7stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,589,,
may i have a table at resto_hanoi_moderate_japanese_8stars,great let me do the reservation,589,<KB> resto_hanoi_moderate_japanese_8stars, <R_cuisine> japanese <R_address> resto_hanoi_moderate_japanese_8stars_address <R_location> hanoi <R_number> four <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,590,,
may i have a table at resto_tokyo_expensive_cantonese_1stars,great let me do the reservation,590,<KB> resto_tokyo_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_1stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,591,,
i'd like to book a table at resto_bangkok_cheap_japanese_1stars,great let me do the reservation,591,<KB> resto_bangkok_cheap_japanese_1stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_1stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,592,,
may i have a table at resto_bangkok_moderate_cantonese_8stars,great let me do the reservation,592,<KB> resto_bangkok_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_8stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,593,,
can you book a table at resto_tokyo_cheap_cantonese_2stars,great let me do the reservation,593,<KB> resto_tokyo_cheap_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_tokyo_cheap_cantonese_2stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,594,,
may i have a table at resto_bangkok_cheap_korean_5stars,great let me do the reservation,594,<KB> resto_bangkok_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_bangkok_cheap_korean_5stars_address <R_location> bangkok <R_number> four <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,595,,
can you book a table at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,595,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,596,,
may i have a table at resto_tokyo_expensive_thai_6stars,great let me do the reservation,596,<KB> resto_tokyo_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_6stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,597,,
can you make a restaurant reservation at resto_bangkok_moderate_japanese_7stars,great let me do the reservation,597,<KB> resto_bangkok_moderate_japanese_7stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_7stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,598,,
i'd like to book a table at resto_seoul_moderate_korean_5stars,great let me do the reservation,598,<KB> resto_seoul_moderate_korean_5stars, <R_cuisine> korean <R_address> resto_seoul_moderate_korean_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,599,,
may i have a table at resto_tokyo_expensive_korean_4stars,great let me do the reservation,599,<KB> resto_tokyo_expensive_korean_4stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_4stars_address <R_location> tokyo <R_number> eight <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,600,,
can you book a table at resto_tokyo_cheap_thai_8stars,great let me do the reservation,600,<KB> resto_tokyo_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_8stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,601,,
may i have a table at resto_seoul_moderate_vietnamese_5stars,great let me do the reservation,601,<KB> resto_seoul_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,602,,
may i have a table at resto_hanoi_expensive_thai_6stars,great let me do the reservation,602,<KB> resto_hanoi_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_6stars_address <R_location> hanoi <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,603,,
may i have a table at resto_bangkok_expensive_cantonese_7stars,great let me do the reservation,603,<KB> resto_bangkok_expensive_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_7stars_address <R_location> bangkok <R_number> six <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,604,,
i'd like to book a table at resto_tokyo_cheap_cantonese_1stars,great let me do the reservation,604,<KB> resto_tokyo_cheap_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_cheap_cantonese_1stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,605,,
can you book a table at resto_bangkok_moderate_japanese_4stars,great let me do the reservation,605,<KB> resto_bangkok_moderate_japanese_4stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_4stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,606,,
i'd like to book a table at resto_beijing_cheap_cantonese_7stars,great let me do the reservation,606,<KB> resto_beijing_cheap_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_beijing_cheap_cantonese_7stars_address <R_location> beijing <R_number> six <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,607,,
may i have a table at resto_beijing_cheap_vietnamese_5stars,great let me do the reservation,607,<KB> resto_beijing_cheap_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_5stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,608,,
may i have a table at resto_tokyo_moderate_vietnamese_2stars,great let me do the reservation,608,<KB> resto_tokyo_moderate_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_tokyo_moderate_vietnamese_2stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,609,,
can you book a table at resto_bangkok_cheap_thai_3stars,great let me do the reservation,609,<KB> resto_bangkok_cheap_thai_3stars, <R_cuisine> thai <R_address> resto_bangkok_cheap_thai_3stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,610,,
may i have a table at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,610,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,611,,
can you make a restaurant reservation at resto_beijing_expensive_thai_7stars,great let me do the reservation,611,<KB> resto_beijing_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_7stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,612,,
i'd like to book a table at resto_bangkok_cheap_cantonese_4stars,great let me do the reservation,612,<KB> resto_bangkok_cheap_cantonese_4stars, <R_cuisine> cantonese <R_address> resto_bangkok_cheap_cantonese_4stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,613,,
i'd like to book a table at resto_bangkok_moderate_vietnamese_2stars,great let me do the reservation,613,<KB> resto_bangkok_moderate_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_2stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,614,,
i'd like to book a table at resto_seoul_moderate_korean_5stars,great let me do the reservation,614,<KB> resto_seoul_moderate_korean_5stars, <R_cuisine> korean <R_address> resto_seoul_moderate_korean_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
hello,hello what can i help you with today,615,,
may i have a table at resto_bangkok_moderate_vietnamese_2stars,great let me do the reservation,615,<KB> resto_bangkok_moderate_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_2stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,616,,
may i have a table at resto_seoul_cheap_korean_2stars,great let me do the reservation,616,<KB> resto_seoul_cheap_korean_2stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_2stars_address <R_location> seoul <R_number> six <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,617,,
may i have a table at resto_seoul_cheap_korean_8stars,great let me do the reservation,617,<KB> resto_seoul_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_8stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,618,,
can you book a table at resto_tokyo_expensive_cantonese_5stars,great let me do the reservation,618,<KB> resto_tokyo_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_5stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,619,,
can you make a restaurant reservation at resto_seoul_cheap_korean_8stars,great let me do the reservation,619,<KB> resto_seoul_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_8stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,620,,
i'd like to book a table at resto_seoul_expensive_vietnamese_7stars,great let me do the reservation,620,<KB> resto_seoul_expensive_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_7stars_address <R_location> seoul <R_number> four <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,621,,
i'd like to book a table at resto_hanoi_expensive_thai_7stars,great let me do the reservation,621,<KB> resto_hanoi_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,622,,
can you make a restaurant reservation at resto_beijing_cheap_thai_6stars,great let me do the reservation,622,<KB> resto_beijing_cheap_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_cheap_thai_6stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,623,,
can you book a table at resto_beijing_cheap_vietnamese_7stars,great let me do the reservation,623,<KB> resto_beijing_cheap_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_7stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,624,,
can you book a table at resto_seoul_moderate_japanese_1stars,great let me do the reservation,624,<KB> resto_seoul_moderate_japanese_1stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_1stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,625,,
can you make a restaurant reservation at resto_bangkok_cheap_vietnamese_5stars,great let me do the reservation,625,<KB> resto_bangkok_cheap_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_5stars_address <R_location> bangkok <R_number> two <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,626,,
can you book a table at resto_tokyo_cheap_thai_7stars,great let me do the reservation,626,<KB> resto_tokyo_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_7stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,627,,
can you make a restaurant reservation at resto_bangkok_moderate_vietnamese_5stars,great let me do the reservation,627,<KB> resto_bangkok_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_5stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,628,,
may i have a table at resto_bangkok_moderate_thai_4stars,great let me do the reservation,628,<KB> resto_bangkok_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_4stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,629,,
can you book a table at resto_seoul_cheap_japanese_4stars,great let me do the reservation,629,<KB> resto_seoul_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_4stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,630,,
can you make a restaurant reservation at resto_hanoi_expensive_japanese_1stars,great let me do the reservation,630,<KB> resto_hanoi_expensive_japanese_1stars, <R_cuisine> japanese <R_address> resto_hanoi_expensive_japanese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,631,,
may i have a table at resto_hanoi_moderate_korean_6stars,great let me do the reservation,631,<KB> resto_hanoi_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_hanoi_moderate_korean_6stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,632,,
may i have a table at resto_seoul_moderate_japanese_2stars,great let me do the reservation,632,<KB> resto_seoul_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_2stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 2 
good morning,hello what can i help you with today,633,,
i'd like to book a table at resto_beijing_cheap_korean_8stars,great let me do the reservation,633,<KB> resto_beijing_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_8stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,634,,
can you book a table at resto_beijing_expensive_vietnamese_7stars,great let me do the reservation,634,<KB> resto_beijing_expensive_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_beijing_expensive_vietnamese_7stars_address <R_location> beijing <R_number> six <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,635,,
i'd like to book a table at resto_beijing_expensive_thai_1stars,great let me do the reservation,635,<KB> resto_beijing_expensive_thai_1stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_1stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,636,,
can you make a restaurant reservation at resto_beijing_cheap_korean_8stars,great let me do the reservation,636,<KB> resto_beijing_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_8stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,637,,
can you make a restaurant reservation at resto_beijing_moderate_cantonese_3stars,great let me do the reservation,637,<KB> resto_beijing_moderate_cantonese_3stars, <R_cuisine> cantonese <R_address> resto_beijing_moderate_cantonese_3stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,638,,
i'd like to book a table at resto_seoul_cheap_korean_1stars,great let me do the reservation,638,<KB> resto_seoul_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_1stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,639,,
can you make a restaurant reservation at resto_beijing_moderate_thai_4stars,great let me do the reservation,639,<KB> resto_beijing_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_moderate_thai_4stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,640,,
may i have a table at resto_tokyo_expensive_cantonese_1stars,great let me do the reservation,640,<KB> resto_tokyo_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_1stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,641,,
may i have a table at resto_hanoi_moderate_thai_3stars,great let me do the reservation,641,<KB> resto_hanoi_moderate_thai_3stars, <R_cuisine> thai <R_address> resto_hanoi_moderate_thai_3stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 3 
hello,hello what can i help you with today,642,,
can you book a table at resto_bangkok_cheap_vietnamese_4stars,great let me do the reservation,642,<KB> resto_bangkok_cheap_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_4stars_address <R_location> bangkok <R_number> four <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,643,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_7stars,great let me do the reservation,643,<KB> resto_bangkok_moderate_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_7stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,644,,
may i have a table at resto_seoul_expensive_japanese_6stars,great let me do the reservation,644,<KB> resto_seoul_expensive_japanese_6stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,645,,
may i have a table at resto_bangkok_cheap_korean_5stars,great let me do the reservation,645,<KB> resto_bangkok_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_bangkok_cheap_korean_5stars_address <R_location> bangkok <R_number> four <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,646,,
i'd like to book a table at resto_seoul_expensive_japanese_6stars,great let me do the reservation,646,<KB> resto_seoul_expensive_japanese_6stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,647,,
can you book a table at resto_beijing_expensive_vietnamese_4stars,great let me do the reservation,647,<KB> resto_beijing_expensive_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_beijing_expensive_vietnamese_4stars_address <R_location> beijing <R_number> six <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,648,,
may i have a table at resto_bangkok_expensive_cantonese_8stars,great let me do the reservation,648,<KB> resto_bangkok_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_8stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,649,,
may i have a table at resto_beijing_expensive_cantonese_5stars,great let me do the reservation,649,<KB> resto_beijing_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_beijing_expensive_cantonese_5stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,650,,
can you book a table at resto_tokyo_expensive_korean_5stars,great let me do the reservation,650,<KB> resto_tokyo_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_5stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,651,,
can you make a restaurant reservation at resto_beijing_expensive_thai_7stars,great let me do the reservation,651,<KB> resto_beijing_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_7stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,652,,
can you book a table at resto_beijing_moderate_thai_5stars,great let me do the reservation,652,<KB> resto_beijing_moderate_thai_5stars, <R_cuisine> thai <R_address> resto_beijing_moderate_thai_5stars_address <R_location> beijing <R_number> two <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,653,,
can you book a table at resto_seoul_cheap_korean_7stars,great let me do the reservation,653,<KB> resto_seoul_cheap_korean_7stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_7stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,654,,
i'd like to book a table at resto_hanoi_moderate_korean_6stars,great let me do the reservation,654,<KB> resto_hanoi_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_hanoi_moderate_korean_6stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,655,,
can you book a table at resto_tokyo_cheap_thai_8stars,great let me do the reservation,655,<KB> resto_tokyo_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_8stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,656,,
can you make a restaurant reservation at resto_bangkok_moderate_japanese_7stars,great let me do the reservation,656,<KB> resto_bangkok_moderate_japanese_7stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_7stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,657,,
i'd like to book a table at resto_hanoi_moderate_korean_6stars,great let me do the reservation,657,<KB> resto_hanoi_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_hanoi_moderate_korean_6stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,658,,
may i have a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,658,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,659,,
i'd like to book a table at resto_seoul_expensive_vietnamese_8stars,great let me do the reservation,659,<KB> resto_seoul_expensive_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_8stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,660,,
can you book a table at resto_bangkok_expensive_japanese_7stars,great let me do the reservation,660,<KB> resto_bangkok_expensive_japanese_7stars, <R_cuisine> japanese <R_address> resto_bangkok_expensive_japanese_7stars_address <R_location> bangkok <R_number> two <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,661,,
i'd like to book a table at resto_seoul_cheap_thai_8stars,great let me do the reservation,661,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,662,,
can you book a table at resto_beijing_moderate_thai_4stars,great let me do the reservation,662,<KB> resto_beijing_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_moderate_thai_4stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,663,,
can you book a table at resto_hanoi_expensive_cantonese_5stars,great let me do the reservation,663,<KB> resto_hanoi_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_expensive_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,664,,
i'd like to book a table at resto_tokyo_moderate_vietnamese_2stars,great let me do the reservation,664,<KB> resto_tokyo_moderate_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_tokyo_moderate_vietnamese_2stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,665,,
can you book a table at resto_seoul_cheap_thai_8stars,great let me do the reservation,665,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,666,,
i'd like to book a table at resto_bangkok_moderate_thai_4stars,great let me do the reservation,666,<KB> resto_bangkok_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_4stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 4 
hi,hello what can i help you with today,667,,
can you make a restaurant reservation at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,667,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,668,,
can you book a table at resto_tokyo_cheap_thai_3stars,great let me do the reservation,668,<KB> resto_tokyo_cheap_thai_3stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_3stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 3 
hello,hello what can i help you with today,669,,
i'd like to book a table at resto_seoul_expensive_thai_7stars,great let me do the reservation,669,<KB> resto_seoul_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,670,,
i'd like to book a table at resto_bangkok_moderate_thai_1stars,great let me do the reservation,670,<KB> resto_bangkok_moderate_thai_1stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_1stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,671,,
may i have a table at resto_seoul_expensive_korean_3stars,great let me do the reservation,671,<KB> resto_seoul_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_seoul_expensive_korean_3stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,672,,
